,label,win,points,aces,dealer card,round,game number
1,1,True,19,1,9,0,2
7,1,True,12,0,7,0,9
8,0,True,20,0,7,1,9
9,1,True,16,0,11,0,10
10,0,True,16,0,4,0,11
12,0,True,20,0,11,0,14
17,1,True,11,0,2,0,20
18,0,True,19,0,2,1,20
21,0,True,20,0,3,0,24
27,1,True,20,0,2,0,30
29,0,True,14,0,5,0,32
32,1,True,10,0,6,0,35
33,0,True,16,1,4,0,36
41,1,True,15,0,10,0,42
42,0,True,17,0,10,1,42
44,1,True,11,0,9,0,44
62,0,True,17,0,7,0,57
63,1,True,15,0,3,0,58
64,0,True,16,1,3,1,58
67,1,True,12,2,9,0,60
68,0,True,20,2,9,1,60
69,0,True,19,0,10,0,62
82,0,True,18,0,4,0,75
86,1,True,18,1,9,0,79
87,1,True,17,0,7,0,80
88,0,True,18,1,7,1,80
90,1,True,17,0,10,0,83
91,1,True,19,0,10,1,83
92,1,True,15,0,7,0,84
93,0,True,16,1,7,1,84
102,0,True,20,0,3,0,90
115,1,True,9,0,6,0,100
116,0,True,19,0,6,1,100
121,0,True,20,0,8,0,104
122,0,True,19,0,5,0,105
123,0,True,20,0,10,0,106
129,1,True,15,1,10,0,111
130,0,True,18,1,10,1,111
133,0,True,17,0,8,0,114
139,0,True,20,0,5,0,119
144,1,True,19,1,11,0,124
145,0,True,19,1,11,1,124
148,0,True,18,0,7,0,128
149,1,True,9,0,6,0,129
150,0,True,19,0,6,1,129
160,0,True,16,0,5,0,135
165,0,True,13,0,3,0,140
182,0,True,15,0,10,0,155
183,0,True,20,1,10,0,156
184,1,True,11,0,10,0,157
186,0,True,16,0,7,0,159
188,1,True,12,0,10,0,161
189,0,True,18,0,10,1,161
192,1,True,10,0,7,0,165
193,0,True,17,0,7,1,165
194,0,True,19,0,7,0,167
204,0,True,18,0,3,0,173
206,0,True,19,0,5,0,175
207,0,True,16,0,11,0,176
208,1,True,10,0,5,0,177
209,0,True,13,0,5,1,177
212,1,True,12,0,3,0,180
213,0,True,19,0,3,1,180
222,0,True,17,0,3,0,186
223,0,True,15,0,7,0,187
224,0,True,18,0,10,0,188
231,0,True,20,0,4,0,196
232,1,True,7,0,9,0,197
233,0,True,17,0,9,1,197
239,1,True,16,0,2,0,200
240,0,True,20,0,2,1,200
241,0,True,20,1,10,0,201
247,0,True,20,0,9,0,206
248,0,True,19,0,8,0,207
268,0,True,20,0,10,0,220
270,0,True,18,1,10,0,222
271,1,True,9,0,4,0,223
272,0,True,17,0,4,1,223
288,1,True,13,0,3,0,238
289,1,True,19,1,3,0,239
291,0,True,20,0,10,0,241
294,1,True,7,0,10,0,245
295,0,True,18,1,10,1,245
297,0,True,20,0,7,0,247
312,0,True,19,1,6,0,259
315,1,True,15,0,10,0,263
317,0,True,20,0,5,0,265
320,1,True,10,0,10,0,268
321,0,True,18,0,10,1,268
322,0,True,18,0,4,0,269
327,1,True,16,0,6,0,273
328,0,True,18,0,6,1,273
340,1,True,13,0,7,0,283
341,1,True,18,0,7,1,283
342,0,True,20,0,7,2,283
343,1,True,14,0,8,0,284
344,0,True,20,0,8,1,284
350,0,True,16,0,5,0,289
359,0,True,18,0,10,0,296
360,0,True,18,0,8,0,297
363,0,True,20,0,10,0,300
364,0,True,20,0,9,0,301
369,0,True,17,0,4,0,304
371,0,True,20,0,11,0,306
377,1,True,19,0,5,0,311
378,0,True,20,1,5,1,311
382,0,True,20,0,10,0,313
384,1,True,10,0,7,0,315
385,0,True,19,0,7,1,315
388,0,True,19,0,10,0,317
392,0,True,16,0,6,0,320
395,1,True,7,0,10,0,323
396,0,True,18,1,10,1,323
412,0,True,17,0,3,0,337
416,1,True,15,0,5,0,340
417,0,True,18,0,5,1,340
418,0,True,19,0,10,0,341
419,0,True,17,0,9,0,342
422,1,True,19,1,10,0,346
423,0,True,19,1,10,1,346
428,1,True,14,0,10,0,349
431,1,True,9,0,8,0,352
432,0,True,20,1,8,1,352
433,1,True,6,0,10,0,353
434,0,True,17,1,10,1,353
435,0,True,16,0,6,0,354
436,0,True,18,0,2,0,355
437,1,True,11,0,9,0,357
438,0,True,19,0,9,1,357
446,0,True,20,1,3,0,367
464,0,True,20,0,10,0,381
466,1,True,12,0,4,0,383
467,0,True,19,0,4,1,383
478,1,True,9,0,6,0,392
479,0,True,19,0,6,1,392
485,0,True,19,0,3,0,399
489,0,True,16,1,10,0,403
495,0,True,15,0,10,0,406
502,0,True,20,1,3,0,411
504,0,True,20,0,10,0,413
506,1,True,11,0,6,0,415
516,0,True,20,0,3,0,424
520,0,True,19,1,2,0,428
527,0,True,19,1,10,0,433
533,0,True,20,0,10,0,440
538,0,True,20,1,3,0,443
540,1,True,8,0,5,0,446
541,0,True,18,0,5,1,446
550,1,True,12,0,10,0,453
551,0,True,18,0,10,1,453
556,0,True,14,0,7,0,458
561,1,True,10,0,7,0,463
562,0,True,17,0,7,1,463
574,1,True,10,0,7,0,473
575,1,True,17,0,7,1,473
577,1,True,4,0,4,0,477
578,1,True,12,0,4,1,477
584,0,True,20,0,10,0,483
585,1,True,9,0,5,0,484
586,0,True,18,0,5,1,484
594,0,True,16,0,10,0,494
601,0,True,18,0,9,0,500
612,0,True,20,0,3,0,510
613,0,True,20,0,9,0,511
622,0,True,20,0,5,0,519
623,1,True,19,0,10,0,521
624,1,True,13,0,3,0,522
625,0,True,15,0,3,1,522
626,0,True,15,0,7,0,523
627,1,True,9,0,10,0,524
628,0,True,19,0,10,1,524
634,1,True,11,0,7,0,529
635,0,True,16,0,7,1,529
639,1,True,11,0,11,0,531
640,1,True,16,0,11,1,531
641,0,True,20,0,11,2,531
642,1,True,10,0,3,0,532
643,0,True,16,0,3,1,532
646,1,True,14,0,4,0,534
647,0,True,18,0,5,0,535
652,0,True,18,0,3,0,539
661,0,True,20,0,5,0,547
664,1,True,7,0,8,0,549
665,1,True,13,0,8,1,549
667,0,True,20,0,6,0,551
673,0,True,20,0,11,0,557
686,0,True,14,0,5,0,567
695,0,True,20,0,9,0,574
699,0,True,20,0,11,0,579
705,0,True,19,0,10,0,584
707,0,True,15,0,4,0,588
709,0,True,19,0,5,0,590
716,1,True,9,0,3,0,595
717,0,True,19,0,3,1,595
723,1,True,7,0,7,0,601
724,1,True,12,0,7,1,601
726,1,True,11,0,9,0,604
734,0,True,16,0,2,0,609
737,1,True,10,0,11,0,612
738,0,True,20,0,11,1,612
749,1,True,13,0,4,0,622
750,0,True,15,0,4,1,622
757,1,True,9,0,7,0,627
758,0,True,20,1,7,1,627
765,0,True,20,0,9,0,635
777,0,True,17,0,6,0,647
780,0,True,20,0,9,0,650
781,0,True,15,0,4,0,651
782,0,True,17,1,9,0,652
785,1,True,9,0,11,0,655
786,1,True,11,0,11,1,655
793,0,True,20,0,11,0,661
797,1,True,13,0,6,0,664
798,0,True,19,0,6,1,664
799,0,True,20,0,11,0,665
807,1,True,14,1,9,0,674
808,1,True,13,1,9,1,674
809,1,True,4,0,10,0,676
810,1,True,11,0,10,1,676
818,0,True,16,0,4,0,684
819,0,True,16,0,10,0,685
828,0,True,17,0,3,0,693
832,0,True,20,0,2,0,698
836,0,True,20,0,2,0,701
838,1,True,10,0,8,0,703
839,1,True,19,0,8,1,703
844,1,True,20,0,10,0,708
848,1,True,18,1,6,0,712
849,0,True,20,1,6,1,712
854,0,True,19,1,5,0,716
856,0,True,20,0,8,0,718
861,0,True,20,0,4,0,723
863,0,True,20,0,8,0,727
864,1,True,20,0,2,0,728
865,0,True,20,0,10,0,729
866,1,True,10,0,11,0,730
867,0,True,20,0,11,1,730
869,1,True,9,0,8,0,732
870,1,True,11,0,8,1,732
875,1,True,10,0,10,0,736
876,0,True,20,0,10,1,736
883,1,True,9,0,2,0,742
884,0,True,19,0,2,1,742
885,0,True,20,0,6,0,743
890,1,True,11,0,2,0,746
893,1,True,6,0,2,0,748
894,1,True,9,0,2,1,748
895,0,True,19,0,2,2,748
899,1,True,5,0,5,0,752
900,1,True,14,0,5,1,752
901,0,True,19,0,5,2,752
907,0,True,20,0,5,0,756
916,1,True,9,0,8,0,764
917,0,True,20,1,8,1,764
922,0,True,13,0,4,0,767
924,1,True,13,1,10,0,769
926,1,True,13,1,5,0,771
927,0,True,17,1,5,1,771
928,1,True,13,0,10,0,772
929,0,True,18,0,10,1,772
930,1,True,19,1,2,0,773
931,1,True,12,1,2,1,773
932,0,True,20,1,2,2,773
938,1,True,9,0,5,0,777
939,0,True,19,0,5,1,777
945,0,True,20,0,5,0,783
951,0,True,18,0,7,0,788
963,0,True,17,0,10,0,800
966,1,True,11,0,4,0,802
967,0,True,15,0,4,1,802
968,0,True,20,0,4,0,803
973,0,True,17,0,4,0,808
981,0,True,18,0,6,0,814
988,0,True,16,0,10,0,820
989,0,True,19,0,2,0,821
994,1,True,17,0,3,0,825
1003,0,True,17,0,10,0,831
1019,1,True,9,0,9,0,846
1020,0,True,17,0,9,1,846
1026,1,True,6,0,5,0,850
1027,1,True,17,1,5,1,850
1028,1,True,10,0,10,0,852
1029,0,True,20,0,10,1,852
1034,0,True,19,0,8,0,856
1051,1,True,11,0,2,0,869
1052,1,True,17,0,2,1,869
1061,0,True,17,0,3,0,875
1071,1,True,12,0,5,0,882
1072,0,True,20,0,5,1,882
1079,1,True,16,0,8,0,888
1080,0,True,20,0,8,1,888
1094,0,True,18,0,10,0,900
1096,0,True,17,0,3,0,902
1098,0,True,15,0,4,0,904
1106,0,True,15,0,4,0,911
1110,1,True,9,0,10,0,913
1111,0,True,18,0,10,1,913
1114,0,True,18,0,4,0,916
1115,0,True,20,0,7,0,917
1119,1,True,15,0,9,0,920
1121,0,True,20,0,5,0,922
1125,0,True,20,0,6,0,925
1127,0,True,13,0,5,0,927
1133,0,True,15,0,8,0,932
1135,0,True,17,0,10,0,934
1138,1,True,9,0,4,0,938
1139,1,True,19,0,4,1,938
1151,0,True,20,0,11,0,949
1153,1,True,11,0,10,0,951
1157,0,True,19,0,9,0,955
1158,0,True,18,0,2,0,956
1168,1,True,10,0,8,0,963
1169,0,True,20,0,8,1,963
1172,0,True,14,0,9,0,966
1173,0,True,14,0,9,0,967
1177,0,True,16,0,4,0,971
1179,0,True,20,0,5,0,973
1180,0,True,20,0,9,0,975
1192,1,True,11,0,10,0,986
1193,1,True,17,0,8,0,987
1194,0,True,19,0,8,1,987
1196,1,True,6,0,10,0,989
1197,1,True,9,0,10,1,989
1198,0,True,19,0,10,2,989
1215,1,True,13,0,9,0,1003
1216,0,True,17,0,9,1,1003
1221,0,True,20,0,7,0,1006
1235,1,True,17,0,7,0,1018
1236,0,True,19,0,7,1,1018
1254,0,True,19,0,10,0,1031
1256,0,True,20,0,10,0,1033
1263,1,True,14,0,3,0,1038
1264,0,True,16,0,3,1,1038
1269,1,True,16,1,8,0,1042
1273,1,True,11,0,7,0,1046
1278,1,True,10,0,9,0,1049
1279,0,True,19,0,9,1,1049
1281,0,True,18,0,10,0,1051
1283,1,True,15,1,11,0,1056
1284,0,True,17,1,11,1,1056
1288,0,True,19,0,8,0,1059
1289,0,True,20,0,10,0,1060
1294,0,True,20,0,8,0,1064
1299,0,True,19,0,5,0,1067
1306,0,True,15,1,2,0,1072
1307,1,True,6,0,7,0,1073
1308,1,True,16,0,7,1,1073
1309,0,True,19,0,7,2,1073
1310,0,True,17,0,6,0,1074
1313,0,True,17,0,6,0,1079
1321,0,True,20,0,6,0,1085
1329,1,True,15,0,8,0,1095
1330,0,True,17,0,2,0,1096
1335,0,True,20,0,2,0,1101
1336,0,True,20,0,3,0,1102
1348,0,True,20,0,10,0,1110
1349,1,True,8,0,4,0,1111
1350,0,True,17,0,4,1,1111
1358,0,True,19,0,5,0,1118
1360,0,True,17,0,3,0,1120
1361,0,True,20,0,3,0,1121
1371,1,True,10,0,10,0,1128
1372,0,True,20,0,10,1,1128
1373,1,True,8,0,10,0,1129
1374,0,True,19,1,10,1,1129
1380,1,True,14,1,4,0,1135
1385,1,True,8,0,9,0,1140
1386,1,True,12,0,9,1,1140
1387,0,True,18,0,9,2,1140
1405,1,True,10,0,5,0,1155
1406,0,True,19,0,5,1,1155
1407,1,True,16,0,10,0,1156
1408,0,True,20,0,10,1,1156
1421,0,True,20,0,4,0,1165
1426,1,True,20,0,4,0,1169
1429,1,True,12,0,11,0,1174
1433,0,True,19,0,10,0,1178
1434,1,True,8,0,6,0,1179
1435,0,True,17,0,6,1,1179
1437,1,True,9,0,10,0,1181
1438,1,True,19,0,10,1,1181
1442,1,True,12,0,7,0,1185
1443,0,True,19,0,10,0,1186
1448,0,True,20,0,5,0,1190
1450,1,True,5,0,6,0,1192
1451,1,True,7,0,6,1,1192
1452,1,True,18,1,6,2,1192
1453,1,True,16,1,6,3,1192
1459,1,True,5,0,7,0,1198
1460,1,True,10,0,7,1,1198
1461,0,True,19,0,7,2,1198
1488,0,True,19,0,4,0,1217
1489,0,True,20,0,2,0,1218
1494,1,True,10,0,3,0,1221
1495,1,True,14,0,3,1,1221
1496,0,True,20,0,3,2,1221
1497,0,True,20,0,10,0,1222
1502,0,True,18,0,3,0,1229
1514,0,True,16,0,4,0,1238
1515,0,True,20,0,9,0,1239
1518,0,True,17,0,10,0,1242
1519,0,True,19,0,11,0,1243
1524,1,True,10,0,8,0,1247
1525,0,True,19,0,10,0,1249
1527,1,True,10,0,6,0,1251
